ID,pais,edad,año_nacimiento,sexo,años_educacion,estado_marital,decil_ingresos,satisfaccion_vida,felicidad,reuniones_sociales,deporte,horas_trabajo,problemas_sueño,interes_politica,confianza_politicos,importancia_tradiciones,uso_internet,sinceridad,nivel_entendimiento,generacion,region,grupo
77753,SI,53.0,1970.0,hombre,11.0,divorciado legalmente,3.0,7.0,7.0,5.0,7.0,40.0,2.0,4.0,1.0,5.0,1.0,medio,casi siempre,gen x,Resto Europa,Resto_mundo
77799,SI,22.0,2001.0,mujer,12.0,desconocido,6.0,9.0,9.0,3.0,7.0,40.0,1.0,4.0,8.0,2.0,5.0,bastante,casi siempre,gen z,Resto Europa,Resto_mundo
77806,SI,20.0,2003.0,hombre,13.0,soltero,6.0,8.0,8.0,3.0,1.0,39.0,1.0,2.0,3.0,3.0,5.0,mucho,a menudo,gen z,Resto Europa,Resto_mundo
77820,SI,40.0,1983.0,mujer,11.0,soltero,8.0,10.0,10.0,4.0,0.0,48.0,1.0,4.0,0.0,5.0,5.0,mucho,a menudo,millennials,Resto Europa,Resto_mundo
77869,SI,88.0,1935.0,hombre,12.0,desconocido,4.0,7.0,7.0,3.0,0.0,40.0,2.0,2.0,6.0,1.0,1.0,mucho,a menudo,silent generation,Resto Europa,Resto_mundo
77973,SI,35.0,1988.0,mujer,16.0,desconocido,6.0,10.0,10.0,4.0,0.0,40.0,1.0,4.0,0.0,3.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
78058,SI,68.0,1955.0,mujer,8.0,desconocido,1.0,8.0,10.0,2.0,0.0,40.0,1.0,4.0,4.0,1.0,5.0,bastante,a menudo,baby boomers,Resto Europa,Resto_mundo
78116,SI,30.0,1993.0,hombre,19.0,soltero,6.0,9.0,8.0,6.0,5.0,40.0,1.0,4.0,2.0,4.0,5.0,casi nada,casi siempre,millennials,Resto Europa,Resto_mundo
78136,SI,60.0,1963.0,mujer,9.0,desconocido,1.0,9.0,9.0,4.0,0.0,40.0,1.0,3.0,1.0,1.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
78139,SI,53.0,1970.0,mujer,12.0,desconocido,6.0,8.0,8.0,4.0,3.0,40.0,2.0,4.0,3.0,2.0,5.0,bastante,casi siempre,gen x,Resto Europa,Resto_mundo
78147,SI,17.0,2006.0,hombre,11.0,soltero,6.0,8.0,8.0,7.0,4.0,39.0,1.0,4.0,4.0,3.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
78149,SI,38.0,1985.0,hombre,11.0,desconocido,6.0,5.0,9.0,2.0,7.0,46.0,3.0,2.0,0.0,4.0,5.0,poco,a menudo,millennials,Resto Europa,Resto_mundo
78172,SI,31.0,1992.0,mujer,15.0,soltero,6.0,6.0,8.0,6.0,6.0,40.0,1.0,4.0,6.0,3.0,5.0,bastante,a menudo,millennials,Resto Europa,Resto_mundo
78214,SI,78.0,1945.0,hombre,12.0,desconocido,5.0,5.0,5.0,4.0,7.0,44.0,2.0,1.0,4.0,3.0,2.0,mucho,casi siempre,silent generation,Resto Europa,Resto_mundo
78255,SI,49.0,1974.0,hombre,11.0,soltero,6.0,5.0,7.0,4.0,1.0,45.0,2.0,2.0,5.0,2.0,2.0,bastante,de vez en cuanto,gen x,Resto Europa,Resto_mundo
78269,SI,50.0,1973.0,hombre,12.0,desconocido,6.0,8.0,8.0,4.0,0.0,42.0,1.0,3.0,5.0,2.0,4.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
78284,SI,38.0,1985.0,hombre,11.0,desconocido,3.0,8.0,10.0,6.0,0.0,45.0,1.0,4.0,0.0,2.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
78323,SI,68.0,1955.0,mujer,12.0,desconocido,6.0,5.0,8.0,3.0,1.0,40.0,2.0,3.0,0.0,2.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
78354,SI,64.0,1959.0,hombre,11.0,desconocido,7.0,10.0,10.0,6.0,0.0,40.0,1.0,2.0,6.0,2.0,1.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
78375,SI,75.0,1948.0,mujer,10.0,desconocido,4.0,7.0,7.0,4.0,4.0,45.0,1.0,4.0,3.0,2.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
78405,SI,51.0,1972.0,mujer,15.0,soltero,10.0,8.0,8.0,4.0,3.0,45.0,1.0,3.0,0.0,3.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
78445,SI,36.0,1987.0,hombre,15.0,soltero,3.0,8.0,5.0,5.0,6.0,60.0,1.0,3.0,2.0,2.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
78483,SI,58.0,1965.0,mujer,12.0,desconocido,5.0,5.0,7.0,4.0,2.0,54.0,1.0,3.0,2.0,2.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
78528,SI,26.0,1997.0,mujer,17.0,soltero,5.0,9.0,9.0,6.0,6.0,15.0,3.0,2.0,6.0,3.0,5.0,mucho,a menudo,gen z,Resto Europa,Resto_mundo
78582,SI,47.0,1976.0,hombre,11.0,soltero,6.0,8.0,8.0,7.0,7.0,40.0,1.0,4.0,0.0,2.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
78598,SI,31.0,1992.0,mujer,17.0,soltero,8.0,9.0,8.0,6.0,7.0,40.0,1.0,3.0,2.0,4.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
78599,SI,19.0,2004.0,hombre,12.0,soltero,2.0,10.0,10.0,5.0,1.0,0.0,2.0,4.0,7.0,2.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
78647,SI,59.0,1964.0,mujer,11.0,desconocido,5.0,8.0,7.0,4.0,0.0,40.0,1.0,4.0,4.0,3.0,2.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
78670,SI,90.0,1933.0,mujer,9.0,viudo,3.0,9.0,10.0,2.0,0.0,48.0,3.0,2.0,5.0,2.0,1.0,mucho,casi siempre,silent generation,Resto Europa,Resto_mundo
78709,SI,87.0,1936.0,mujer,10.0,viudo,3.0,5.0,5.0,5.0,0.0,40.0,3.0,4.0,0.0,2.0,1.0,medio,de vez en cuanto,silent generation,Resto Europa,Resto_mundo
78713,SI,21.0,2002.0,hombre,14.0,soltero,8.0,7.0,8.0,6.0,1.0,34.0,2.0,1.0,5.0,1.0,5.0,mucho,a menudo,gen z,Resto Europa,Resto_mundo
78718,SI,59.0,1964.0,hombre,11.0,desconocido,10.0,10.0,10.0,2.0,0.0,40.0,2.0,3.0,5.0,2.0,2.0,bastante,casi siempre,baby boomers,Resto Europa,Resto_mundo
78719,SI,26.0,1997.0,mujer,14.0,soltero,1.0,9.0,9.0,3.0,4.0,36.0,1.0,4.0,1.0,3.0,5.0,mucho,a menudo,gen z,Resto Europa,Resto_mundo
78741,SI,47.0,1976.0,mujer,16.0,desconocido,5.0,9.0,8.0,3.0,2.0,40.0,1.0,2.0,6.0,2.0,5.0,bastante,casi siempre,gen x,Resto Europa,Resto_mundo
78751,SI,56.0,1967.0,mujer,13.0,desconocido,6.0,6.0,7.0,4.0,4.0,30.0,2.0,4.0,0.0,4.0,5.0,bastante,a menudo,gen x,Resto Europa,Resto_mundo
78758,SI,35.0,1988.0,mujer,17.0,soltero,9.0,10.0,10.0,5.0,3.0,30.0,2.0,4.0,3.0,4.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
78798,SI,58.0,1965.0,mujer,8.0,desconocido,2.0,0.0,5.0,2.0,0.0,20.0,2.0,4.0,0.0,2.0,5.0,mucho,a menudo,gen x,Resto Europa,Resto_mundo
78813,SI,19.0,2004.0,mujer,9.0,soltero,1.0,4.0,3.0,4.0,1.0,39.0,2.0,4.0,4.0,3.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
78898,SI,50.0,1973.0,mujer,12.0,desconocido,9.0,9.0,8.0,5.0,7.0,42.0,1.0,3.0,2.0,4.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
78910,SI,68.0,1955.0,hombre,9.0,desconocido,4.0,8.0,6.0,3.0,7.0,80.0,1.0,2.0,2.0,2.0,2.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
78918,SI,20.0,2003.0,hombre,13.0,soltero,6.0,6.0,7.0,6.0,4.0,39.0,2.0,3.0,3.0,2.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
78930,SI,26.0,1997.0,hombre,18.0,desconocido,6.0,9.0,9.0,5.0,4.0,40.0,2.0,3.0,4.0,2.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
79010,SI,46.0,1977.0,hombre,16.0,divorciado legalmente,8.0,8.0,8.0,5.0,4.0,43.0,1.0,3.0,5.0,3.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79024,SI,86.0,1937.0,mujer,16.0,viudo,5.0,7.0,8.0,6.0,0.0,40.0,2.0,1.0,6.0,3.0,2.0,mucho,a menudo,silent generation,Resto Europa,Resto_mundo
79034,SI,76.0,1947.0,mujer,11.0,desconocido,6.0,10.0,10.0,6.0,0.0,40.0,2.0,1.0,5.0,2.0,1.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79087,SI,45.0,1978.0,hombre,21.0,soltero,4.0,7.0,8.0,4.0,5.0,40.0,1.0,3.0,1.0,2.0,4.0,bastante,casi siempre,gen x,Resto Europa,Resto_mundo
79107,SI,71.0,1952.0,hombre,21.0,desconocido,7.0,9.0,8.0,4.0,4.0,40.0,2.0,3.0,7.0,2.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79120,SI,60.0,1963.0,mujer,15.0,desconocido,10.0,9.0,9.0,7.0,0.0,44.0,2.0,2.0,0.0,1.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79140,SI,66.0,1957.0,mujer,11.0,desconocido,2.0,9.0,7.0,6.0,2.0,42.0,2.0,3.0,0.0,2.0,4.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79141,SI,35.0,1988.0,mujer,16.0,soltero,5.0,8.0,8.0,6.0,4.0,40.0,1.0,3.0,4.0,3.0,4.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
79324,SI,54.0,1969.0,hombre,12.0,desconocido,5.0,7.0,7.0,6.0,6.0,50.0,1.0,3.0,3.0,4.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79402,SI,65.0,1958.0,hombre,14.0,desconocido,3.0,8.0,8.0,3.0,6.0,40.0,2.0,2.0,3.0,1.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79436,SI,32.0,1991.0,mujer,17.0,soltero,6.0,6.0,6.0,6.0,2.0,40.0,2.0,3.0,4.0,2.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
79497,SI,22.0,2001.0,hombre,13.0,soltero,2.0,10.0,9.0,4.0,7.0,0.0,1.0,4.0,3.0,1.0,5.0,mucho,a menudo,gen z,Resto Europa,Resto_mundo
79505,SI,19.0,2004.0,hombre,13.0,soltero,6.0,8.0,9.0,7.0,7.0,10.0,1.0,3.0,7.0,2.0,5.0,mucho,casi siempre,gen z,Resto Europa,Resto_mundo
79550,SI,40.0,1983.0,mujer,19.0,soltero,10.0,10.0,9.0,4.0,2.0,42.0,2.0,2.0,5.0,3.0,5.0,mucho,nunca,millennials,Resto Europa,Resto_mundo
79598,SI,54.0,1969.0,hombre,11.0,desconocido,6.0,10.0,6.0,4.0,2.0,60.0,2.0,3.0,7.0,2.0,4.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79609,SI,64.0,1959.0,mujer,10.0,desconocido,5.0,8.0,8.0,4.0,3.0,40.0,1.0,2.0,7.0,3.0,5.0,mucho,casi siempre,baby boomers,Resto Europa,Resto_mundo
79710,SI,63.0,1960.0,mujer,15.0,desconocido,4.0,0.0,0.0,5.0,2.0,40.0,2.0,3.0,2.0,3.0,5.0,bastante,casi siempre,baby boomers,Resto Europa,Resto_mundo
79762,SI,31.0,1992.0,hombre,23.0,soltero,10.0,9.0,9.0,6.0,5.0,60.0,2.0,2.0,3.0,3.0,5.0,mucho,casi siempre,millennials,Resto Europa,Resto_mundo
79803,SI,49.0,1974.0,hombre,13.0,soltero,6.0,9.0,9.0,5.0,7.0,40.0,1.0,3.0,2.0,3.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79821,SI,57.0,1966.0,mujer,12.0,desconocido,6.0,8.0,8.0,4.0,2.0,40.0,2.0,3.0,2.0,3.0,5.0,mucho,a menudo,gen x,Resto Europa,Resto_mundo
79831,SI,51.0,1972.0,hombre,13.0,desconocido,10.0,6.0,10.0,5.0,4.0,60.0,1.0,3.0,0.0,2.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
79859,SI,84.0,1939.0,hombre,11.0,desconocido,3.0,4.0,4.0,5.0,3.0,40.0,1.0,2.0,2.0,2.0,1.0,mucho,casi siempre,silent generation,Resto Europa,Resto_mundo
79870,SI,47.0,1976.0,mujer,16.0,soltero,2.0,9.0,10.0,7.0,0.0,40.0,1.0,3.0,5.0,1.0,5.0,mucho,a menudo,gen x,Resto Europa,Resto_mundo
79878,SI,30.0,1993.0,mujer,15.0,soltero,6.0,8.0,8.0,4.0,5.0,45.0,1.0,3.0,5.0,5.0,5.0,mucho,a menudo,millennials,Resto Europa,Resto_mundo
79892,SI,43.0,1980.0,hombre,13.0,desconocido,5.0,7.0,10.0,4.0,6.0,40.0,1.0,2.0,3.0,2.0,5.0,mucho,casi siempre,gen x,Resto Europa,Resto_mundo
